step_count,913
total_count,13291
cars_length,30
carNum,17
bunsan,298409814235.7
shelters[0].battery,2667375.5033991
shelters[1].battery,3759913.4921861
step_count,867
total_count,10428
cars_length,20
carNum,9
bunsan,12282269441.179
shelters[0].battery,2205244.2488177
shelters[1].battery,1983593.4474099
step_count,997
total_count,16393
cars_length,40
carNum,17
bunsan,354558056817.7
shelters[0].battery,4926265.3317008
shelters[1].battery,3735369.7748736
step_count,1002
total_count,20905
cars_length,40
carNum,23
bunsan,593387916552.22
shelters[0].battery,3526744.135338
shelters[1].battery,5067377.6628872
step_count,948
total_count,13642
cars_length,30
carNum,13
bunsan,117751521899.26
shelters[0].battery,3554420.7104588
shelters[1].battery,2868121.8778815
step_count,919
total_count,21458
cars_length,50
carNum,26
bunsan,94467172456.229
shelters[0].battery,5125023.1770015
shelters[1].battery,5739733.4256756
step_count,946
total_count,20281
cars_length,50
carNum,29
bunsan,971973730607.68
shelters[0].battery,4455523.6986825
shelters[1].battery,6427298.2604494
step_count,993
total_count,19686
cars_length,40
carNum,21
shelters[1].battery,4581795.2037426
step_count,891
total_count,10408
cars_length,30
carNum,13
bunsan,115276713425.02
shelters[0].battery,3574421.9539768
shelters[1].battery,2895373.4625566
step_count,780
total_count,8779
cars_length,30
carNum,17
bunsan,997258896464.2
shelters[0].battery,1797744.6946921
shelters[1].battery,3795001.7101652
step_count,899
total_count,9792
cars_length,30
carNum,24
bunsan,6576627141422.2
shelters[0].battery,225748.54039317
shelters[1].battery,5354735.6300327
step_count,747
total_count,7691
cars_length,30
carNum,13
bunsan,11957133449.584
shelters[0].battery,2693945.8949604
shelters[1].battery,2912643.2515936
step_count,862
total_count,8953
cars_length,30
carNum,15
bunsan,107529465555.11
shelters[0].battery,2694713.2698181
shelters[1].battery,3350546.9851914
step_count,664
total_count,9581
cars_length,30
carNum,15
bunsan,971977852906.77
shelters[0].battery,1354535.922289
shelters[1].battery,3326314.6653601
step_count,672
total_count,7079
cars_length,30
carNum,14
bunsan,47534673359.347
shelters[0].battery,2700290.4200523
shelters[1].battery,3136339.3776676
step_count,707
total_count,9618
cars_length,30
carNum,19
bunsan,2789708469628.9
shelters[0].battery,901419.26480741
shelters[1].battery,4241903.343278
step_count,784
total_count,9776
cars_length,30
carNum,15
bunsan,297174408965.84
shelters[0].battery,2252382.6727091
shelters[1].battery,3342656.7831343
step_count,778
total_count,10855
cars_length,30
carNum,18
bunsan,2416844332368.7
shelters[0].battery,900718.33679036
shelters[1].battery,4009958.9722952
step_count,638
total_count,9205
cars_length,30
carNum,19
bunsan,3172383945907.4
shelters[0].battery,681917.30469506
shelters[1].battery,4244154.7734259
step_count,887
total_count,7124
cars_length,30
carNum,14
bunsan,306111261419.41
shelters[0].battery,2027924.80359
shelters[1].battery,3134471.2534409
step_count,550
total_count,9252
cars_length,30
carNum,18
bunsan,1495818762795.2
shelters[0].battery,1568240.1677217
shelters[1].battery,4014313.5622012
step_count,893
total_count,8017
cars_length,30
carNum,19
bunsan,1504111392029.1
shelters[0].battery,1800601.3803137
shelters[1].battery,4253445.7634975
step_count,587
total_count,9017
cars_length,30
carNum,23
bunsan,5495858511826
shelters[0].battery,449399.39675028
shelters[1].battery,5138048.887521
step_count,770
total_count,13146
cars_length,30
carNum,16
bunsan,2077347338315.2
shelters[0].battery,675225.72165387
shelters[1].battery,3557826.8652845
step_count,912
total_count,7420
cars_length,30
carNum,14
bunsan,115876234939.89
shelters[0].battery,2469485.1709832
shelters[1].battery,3150297.1419117
step_count,902
total_count,8727
cars_length,30
carNum,17
bunsan,1462990176114.1
shelters[0].battery,1359431.7246593
shelters[1].battery,3778514.3409534
step_count,457
total_count,7385
cars_length,30
carNum,17
bunsan,1251764143897.3
shelters[0].battery,1576963.6441492
shelters[1].battery,3814608.9635841
step_count,705
total_count,8689
cars_length,30
carNum,18
bunsan,1007690617909.1
shelters[0].battery,2015521.900835
shelters[1].battery,4023197.7889295
step_count,758
total_count,9011
cars_length,30
carNum,15
bunsan,611860994338.03
shelters[0].battery,1797320.8793426
shelters[1].battery,3361751.7590404
step_count,947
total_count,8833
cars_length,30
carNum,17
bunsan,592251625304.66
shelters[0].battery,2250478.051954
shelters[1].battery,3789635.7765614
step_count,737
total_count,10605
cars_length,30
carNum,14
bunsan,778686066925.55
shelters[0].battery,1343326.0517226
shelters[1].battery,3108189.8616814
step_count,739
total_count,9052
cars_length,30
carNum0,5
carNum1,18
carNum2,6
bunsan,1748326667741.7
shelters[0].battery,1125874.6290877
shelters[1].battery,4028709.6890479
step_count,777
total_count,8638
cars_length,30
carNum0,10
carNum1,7
carNum2,12
bunsan,202596627299.11
shelters[0].battery,2251807.3981865
shelters[1].battery,1575477.0796017
step_count,884
total_count,8576
cars_length,30
carNum0,7
carNum1,14
carNum2,8
bunsan,462711137086.09
shelters[0].battery,1573646.7852268
shelters[1].battery,3118416.4889934
step_count,703
total_count,8130
cars_length,30
carNum0,14
carNum1,5
carNum2,10
bunsan,680092020163.87
shelters[0].battery,3150178.308948
shelters[1].battery,1132157.2604252
step_count,817
total_count,9706
cars_length,30
carNum0,5
carNum1,15
carNum2,9
bunsan,809991280845.54
shelters[0].battery,1131504.6974862
shelters[1].battery,3323548.2910268
step_count,750
total_count,7550
cars_length,30
carNum0,9
carNum1,12
carNum2,8
bunsan,138411996161.1
shelters[0].battery,2026831.4831349
shelters[1].battery,2680331.9385755
step_count,896
total_count,8769
cars_length,30
carNum0,12
carNum1,13
carNum2,4
bunsan,796683976487.92
shelters[0].battery,2707138.9165403
shelters[1].battery,2880989.1717978
step_count,391
total_count,5699
cars_length,30
carNum0,18
carNum1,5
carNum2,6
bunsan,1762566878195.5
shelters[0].battery,4050799.8633791
shelters[1].battery,1129273.1016543
step_count,845
total_count,6039
cars_length,30
carNum0,10
carNum1,9
carNum2,10
bunsan,12032859005.072
shelters[0].battery,2255571.6027079
shelters[1].battery,2023145.4842635
step_count,766
total_count,10385
cars_length,30
carNum0,1
carNum1,16
carNum2,12
bunsan,1996672669011.8
shelters[0].battery,224909.61581605
shelters[1].battery,3566320.5345362
step_count,738
total_count,9430
cars_length,30
carNum0,3
carNum1,10
carNum2,16
bunsan,1385184242251.5
shelters[0].battery,676221.41669238
shelters[1].battery,2251784.1706996
step_count,762
total_count,8042
cars_length,30
carNum0,8
carNum1,15
carNum2,6
bunsan,748931215721.6
